!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,56,11,1,2,0,1,0,0,1,.182,.455,.273,.111
,,,Sinker,13,3,1,0,0,1,0,0,0,.333,.333,.000,.500
,,,Change,7,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,12,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,7,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,6,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=454560&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Ellis,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4171,718,156,154,14,122,34,2,24,.254,.407,.153,.294
,,,Sinker,2148,458,53,42,8,102,26,1,9,.301,.421,.120,.326
,,,Change,605,160,29,12,1,20,9,0,4,.206,.338,.131,.228
,,,Slider,1359,298,91,27,1,45,10,0,3,.195,.258,.064,.270
,,,Curve,712,163,32,8,1,33,6,0,0,.239,.276,.037,.298
,,,Cutter,728,147,34,12,3,20,0,1,4,.170,.265,.095,.193
,,,Split,112,35,12,2,1,5,0,0,2,.200,.371,.171,.238
,,,Knuckler,26,6,1,1,0,1,0,0,0,.167,.167,.000,.200
,,,Slow Curve,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=456167&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Griffin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,32,7,7,1,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,20,3,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543362&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Jimenez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,84,21,5,2,0,2,1,0,0,.143,.191,.048,.188
,,,Sinker,17,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,9,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,24,5,2,1,0,2,0,0,1,.600,1.200,.600,1.000
,,,Curve,20,6,2,0,0,2,0,0,0,.333,.333,.000,.500
,,,Cutter,9,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571963&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Morris,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519263&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Schugel,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,11,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
