!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,20,4,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=456167&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Griffin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,10,1,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=454560&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Ellis,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1112,194,46,48,3,25,8,0,10,.222,.418,.196,.239
,,,Sinker,635,116,15,15,1,24,9,0,2,.302,.431,.129,.333
,,,Change,347,94,12,6,0,15,7,0,2,.255,.394,.138,.275
,,,Slider,212,44,12,5,1,7,3,0,0,.227,.296,.068,.313
,,,Curve,183,45,10,4,0,7,3,0,0,.222,.289,.067,.286
,,,Cutter,232,49,12,5,1,4,0,1,0,.102,.143,.041,.135
,,,Split,34,10,3,2,0,1,0,0,0,.100,.100,.000,.143
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543362&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Jimenez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,31,6,2,1,0,1,0,0,0,.167,.167,.000,.250
,,,Sinker,5,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,10,3,1,0,0,1,0,0,1,.667,1.667,1.000,1.000
,,,Curve,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571963&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Morris,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=621345&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Minter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519263&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Schugel,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=572041&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Pollock,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,919,223,25,24,2,38,16,4,14,.323,.619,.296,.315
,,,Sinker,407,97,8,8,0,15,7,1,3,.268,.454,.186,.267
,,,Change,386,98,11,6,1,19,6,0,3,.286,.439,.153,.298
,,,Slider,292,82,23,6,0,11,4,2,5,.268,.549,.281,.315
,,,Curve,277,54,11,2,1,9,2,1,2,.259,.444,.185,.293
,,,Cutter,232,50,7,1,0,9,6,3,0,.360,.600,.240,.419
,,,Split,46,17,4,3,0,1,2,0,1,.235,.529,.294,.250
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502578&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Barrett,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594760&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Blair,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,24,6,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,9,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Change,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,9,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571437&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Altherr,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,479,100,22,17,0,14,6,0,2,.220,.340,.120,.263
,,,Sinker,176,46,8,8,0,6,3,2,1,.261,.478,.217,.297
,,,Change,223,44,9,3,0,4,1,0,0,.114,.136,.023,.143
,,,Slider,107,26,12,4,2,1,3,0,2,.231,.577,.346,.333
,,,Curve,107,25,5,2,0,2,1,0,3,.240,.640,.400,.177
,,,Cutter,45,16,3,1,0,2,0,0,3,.313,.875,.563,.200
,,,Split,23,4,2,1,0,1,0,0,0,.250,.250,.000,.500
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605156&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Brooks,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607481&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Bummer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543070&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Crow,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=488811&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Cunningham,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,344,83,18,9,1,9,6,0,3,.217,.398,.181,.242
,,,Sinker,130,29,2,1,1,7,5,0,0,.414,.586,.172,.444
,,,Change,116,35,6,1,0,5,3,1,1,.286,.514,.229,.321
,,,Slider,49,14,4,2,0,1,1,0,0,.143,.214,.071,.200
,,,Curve,64,16,8,0,0,1,0,0,0,.063,.063,.000,.125
,,,Cutter,34,8,1,1,1,0,4,0,0,.500,1.000,.500,.571
,,,Split,11,3,0,2,0,0,0,0,0,.000,.000,.000,.000
,,,Screwball,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=421685&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Harang,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,156,48,12,0,0,7,2,0,0,.188,.229,.042,.250
,,,Sinker,167,35,9,0,0,3,0,0,0,.086,.086,.000,.115
,,,Change,15,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,23,9,7,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,45,16,11,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,21,4,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543305&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Hicks,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,791,174,38,27,0,37,7,0,5,.282,.408,.126,.336
,,,Sinker,511,107,10,16,0,21,9,0,3,.308,.477,.168,.319
,,,Change,425,104,21,8,0,20,3,0,8,.298,.558,.260,.307
,,,Slider,249,55,26,3,1,5,3,0,3,.200,.418,.218,.308
,,,Curve,256,48,22,3,1,1,1,1,1,.083,.208,.125,.120
,,,Cutter,181,46,16,3,0,5,2,0,2,.196,.370,.174,.250
,,,Split,8,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=444836&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Laffey,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Sinker,7,2,1,0,0,1,0,0,0,.500,.500,.000,1.000
,,,Curve,6,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592450&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Judge,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,416,75,27,19,0,11,2,0,6,.253,.520,.267,.310
,,,Sinker,235,36,12,10,0,2,2,0,2,.167,.389,.222,.182
,,,Change,245,30,11,15,0,4,1,0,2,.233,.467,.233,.294
,,,Slider,224,36,22,9,2,4,2,0,1,.194,.333,.139,.462
,,,Curve,104,23,14,2,1,3,1,1,1,.261,.522,.261,.625
,,,Cutter,68,18,10,0,0,2,1,0,0,.167,.222,.056,.375
,,,Split,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571901&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Loup,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605400&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Nola,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,52,8,3,1,0,1,0,0,0,.125,.125,.000,.200
,,,Sinker,37,7,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,4,2,2,0,0,0,0,0,0,.000,.000,.000,.000
